thread_id,user_id,time,date,title,opinion
1750717,280724,2019-11-24 21:18:49,2019-11-24,好灰心...poly D 手足被困住都仲叫人投票，出面有人投白票/唔投,2
1750572,226377,2019-11-24 20:36:10,2019-11-24,係未有其他/下一步計劃前 白票射海撚請投票,2
1749847,23707,2019-11-24 15:03:25,2019-11-24,沒有白票，只有廢票,2
1749631,216800,2019-11-24 12:46:36,2019-11-24,騎士仔呼籲大家，寧投泛民 勿投白票,2
1749521,76078,2019-11-24 12:07:13,2019-11-24,含淚含血都要投啊 投白票/唔投嘅話 邊個最開心?,2
1749463,244617,2019-11-24 11:50:27,2019-11-24,今日唔投/白票/投建制你老母唔好再同我講係手足,2
1749308,92188,2019-11-24 11:06:37,2019-11-24,沈旭暉：投白票係對家風向 選舉一輸運動會平息,2
1748987,239696,2019-11-24 09:09:38,2019-11-24,想分享一個外國「白票」、「棄權」既真實例子,2
1748958,260024,2019-11-24 09:01:12,2019-11-24,請踴躍投票 唔好投白票 唔好唔投票 只差你一票,2
1748922,76612,2019-11-24 08:46:35,2019-11-24,諗仲投白票 射落海既手足 入黎睇下沈旭暉用大數據分析,2
1748898,66260,2019-11-24 08:37:41,2019-11-24,當有班屌吹風話投白票投廢票既時候，請記住poly而家有人想投票都投唔到,2
1748885,29271,2019-11-24 08:32:30,2019-11-24,白票=投建制，不服來辯！請審慎行動！,2
1748852,198317,2019-11-24 08:21:01,2019-11-24,唔該大家唔好投白票,2
1748851,92299,2019-11-24 08:20:46,2019-11-24,諗住投白票 棄票 建制嘅入黎,2
1748797,198829,2019-11-24 07:35:13,2019-11-24,邊個投廢票、白票、建制 就係歷史罪人,2
1748756,25601,2019-11-24 06:45:21,2019-11-24,我正式宣佈 邊個投白票 投建制就係共產黨 就係仆街,2
1748688,317150,2019-11-24 04:10:06,2019-11-24,警世 白票撚真係可以去收皮,2
1748659,58841,2019-11-24 03:11:35,2019-11-24,白票撚其實有冇諗過未成年手足既感受,2
1748623,29153,2019-11-24 02:25:15,2019-11-24,投白票，我地死去既手足係唔會原諒我地的,2
1748621,61161,2019-11-24 02:23:51,2019-11-24,唔好投白票，總知投非建制派,2
1748587,60205,2019-11-24 01:51:21,2019-11-24,百萬一心 不投白票,2
1748553,156005,2019-11-24 01:23:52,2019-11-24,建制派不知幾想睇你地焦土同白票,2
1748534,39092,2019-11-24 01:17:02,2019-11-24,一句講哂 投白票投建制你地對唔對得住所有死左既手足？,2
1748490,9643,2019-11-24 00:51:14,2019-11-24,［極警世］一張圖話你聽點解唔做白票撚焦土撚,2
1748473,47834,2019-11-24 00:42:55,2019-11-24,投本土 投泛民 白票不了,2
1748447,3013,2019-11-24 00:27:20,2019-11-24,雖然黃國桐律師係民主黨，但從魚蛋開始就開始做義務律師。咁都要投白票？,2
1750286,221265,2019-11-24 18:34:02,2019-11-24,有冇發現今日啲白票撚 射落海撚 投建制撚全部收皮？,0
1750192,103050,2019-11-24 17:52:15,2019-11-24,大家記住mark低晒早幾日鼓吹投白票班五毛,0
1750050,253320,2019-11-24 16:40:34,2019-11-24,今次選舉輸左係因為熱狗叫人投白票,0
1750020,5205,2019-11-24 16:26:39,2019-11-24,唔使睇輸贏 睇泛民加白票總數就得,0
1749305,25558,2019-11-24 11:05:46,2019-11-24,鍾劍華籲和勇勿中離間計 「投白票會益建制」,0
1749192,31637,2019-11-24 10:25:19,2019-11-24,"我唔明你地淆D白票撚做咩柒? 上屆高登白票撚攬炒派比連登多千倍, 點票果時得幾張廢票",0
1748960,327305,2019-11-24 09:01:46,2019-11-24,建制派果堆係鐵票 投白票或分散投其他人 等於俾建制贏,0
1748940,168477,2019-11-24 08:53:50,2019-11-24,所羅門(Solomon Yue): 投白票是巨大錯誤！,0
1748907,28114,2019-11-24 08:43:18,2019-11-24,所羅門：投白票嘅係戇撚鳩，勿用二分法睇政治,0
1748817,18480,2019-11-24 07:48:15,2019-11-24,蕭山終於屌黃洋達黃毓民投白票,0
1748707,212702,2019-11-24 04:31:53,2019-11-24,白票撚、投對家 三種人,0
1748668,131323,2019-11-24 03:22:13,2019-11-24,反駁熱狗 白票 棄票 一句秒殺,0
1748629,205742,2019-11-24 02:30:28,2019-11-24,To屌票撚丶白票撚同關鍵一席撚,0
1748600,275688,2019-11-24 01:59:18,2019-11-24,連登契爺Solomon Yue: 投白票嚟懲罰泛民係極大錯誤,0
1748548,191926,2019-11-24 01:22:38,2019-11-24,基本上 白票撚/對家撚已經失敗,0
1748366,279685,2019-11-23 23:46:35,2019-11-23,叫人投白票或唔投票就係選舉版本嘅左膠！,2
1748345,47834,2019-11-23 23:34:09,2019-11-23,投白票 = 撐建制,2
1748314,20362,2019-11-23 23:18:18,2019-11-23,爭取普選 獨立 都係想要個投票權 依家投白票? 訓醒未?,2
1748307,25601,2019-11-23 23:16:34,2019-11-23,我正式宣佈 聽日投白票唔投民主派就係鬼 係分化撚,2
1748297,251265,2019-11-23 23:10:57,2019-11-23,白票分化黨就係想建制派贏，無論如何都要投建制對家,2
1748293,2207,2019-11-23 23:10:12,2019-11-23,對「投白票」有任何疑惑嘅請入一入,2
1748173,264958,2019-11-23 22:07:41,2019-11-23,唔投票或投白票都係出賣兄弟,2
1748118,916,2019-11-23 21:45:02,2019-11-23,投泛民=唔需要靠公投表態 投白票=表態！第三勢力！體制革新！,2
1748068,108201,2019-11-23 21:19:56,2019-11-23,聽日唔出去投票/投白票，無資格參加煲底之約,2
1747935,226405,2019-11-23 20:19:33,2019-11-23,一定要諗清楚-我真係唔明白票撚,2
1747921,164590,2019-11-23 20:13:08,2019-11-23,今次有本土投本土，冇本土就要含淚，千祈唔好投白票或者建制啊,2
1747906,65186,2019-11-23 20:08:23,2019-11-23,我屌撚曬你班白票撚老母,2
1747872,189799,2019-11-23 19:54:33,2019-11-23,中槍中學生都叫大家出黎投票，白票撚麻煩收皮。,2
1747846,226984,2019-11-23 19:41:20,2019-11-23,投白票 投建制?你班仆街係咪要等到入香港集中營先覺醒,2
